first_name,last_name,state,Job_Title,Salary,Tenure,Credit_Score,Age,Sex,Loan_Amount,Interest_APR,Co_Borrower
Nester,Baudone,TN,Structural Engineer,255816,16,391,99,2,102712,3.38,false
Walsh,Tafani,DC,Internal Auditor,351846,12,762,76,1,257767,3.61,false
Norri,De Benedictis,MO,Executive Secretary,30507,11,504,44,2,452172,3.27,true
Tamas,Weatherup,CA,Biostatistician I,111210,6,705,89,1,367654,2.77,false
Quint,Folke,FL,Civil Engineer,441398,17,799,42,1,494583,2.74,false
Mirabel,Comley,IL,Health Coach I,144626,21,315,55,1,80888,3.99,true
Francoise,Child,IL,Professor,539273,19,446,59,2,276498,3.74,false
Danila,Tinner,OK,Engineer IV,81650,21,820,28,1,206073,3.51,true
Cthrine,Birkmyr,SC,General Manager,84747,5,502,73,1,146038,3.16,false
Gayel,Molfino,CA,Accountant I,353917,16,558,55,2,299172,2.95,true
Celia,Lyttle,TX,Senior Financial Analyst,437803,17,377,41,1,77459,3.87,false
Vinni,Blakeslee,CA,Administrative Officer,25477,19,781,26,1,344017,3.15,false
Antonius,Domange,UT,Nuclear Power Engineer,433974,7,423,58,2,150344,2.96,false
Sella,Rotham,UT,Biostatistician I,476219,25,681,24,1,329069,2.86,true
Tomi,Malinson,TX,Analog Circuit Design manager,396288,19,530,82,1,457382,3.81,true
Dar,Fereday,CA,Cost Accountant,393086,1,352,79,1,495930,2.84,false
Verla,Loveland,CA,Civil Engineer,248652,15,410,32,1,156737,2.66,false
Audrey,Lias,TN,Financial Analyst,516987,1,309,77,2,445748,3.98,true
Sarena,O'Connell,MA,Software Engineer III,291103,17,594,60,2,78528,2.66,false
Alonzo,Savine,LA,Marketing Assistant,372765,18,821,100,1,203340,3.9,false
Henri,Ascroft,OH,Pharmacist,205671,22,477,35,1,119970,3.89,true
Rosamund,Livezey,WA,Help Desk Operator,201052,4,725,97,2,243651,3.91,true
Eimile,Durdy,CA,Nurse,351961,2,842,24,1,74814,3.44,false
Philis,Fairlaw,PA,Technical Writer,575190,10,811,63,1,237329,2.66,true
Lolly,Spary,TX,Database Administrator III,577939,6,716,49,1,170425,2.97,false
Leigh,Colls,MO,Assistant Manager,287238,4,514,98,1,280104,3.26,false
Gretal,Matuszewski,CT,Environmental Specialist,78868,8,394,54,2,54011,3.89,false
Evelina,Machel,TX,Cost Accountant,372582,17,332,92,1,420279,2.69,false
Alia,Walbrun,GA,Clinical Specialist,431141,4,576,62,1,319686,3.74,false
Ashley,Wragge,IN,Human Resources Assistant IV,287012,22,379,19,1,355019,2.72,true
Gene,Massei,OK,Payment Adjustment Coordinator,78970,15,614,19,1,155721,2.57,false
Delainey,Tasseler,CA,Structural Engineer,472323,19,480,99,1,236981,3.3,true
Kristyn,Camacke,MO,Environmental Tech,216401,3,782,82,1,157173,3.29,false
Noemi,Druhan,OH,Recruiting Manager,163730,11,653,27,1,400053,3.52,true
Harlen,Fayter,CA,Payment Adjustment Coordinator,480766,22,394,79,2,409985,3.43,false
Melessa,Inwood,OH,Project Manager,147855,9,848,31,1,133064,3.37,false
Alexi,Pachmann,IL,Human Resources Manager,146791,11,778,76,2,112417,2.96,true
Phyllys,Axtonne,NE,Senior Developer,523878,24,655,30,1,92120,3.58,false
Fee,Chastang,TX,Graphic Designer,564502,3,312,66,2,72021,2.77,false
Maury,Vedstra,WI,Senior Financial Analyst,544213,21,443,22,1,53141,2.91,false
Chiquia,Benoist,MN,Recruiter,75539,25,339,38,2,268991,3.89,true
Rutherford,Sanson,OR,Clinical Specialist,47464,19,350,90,1,84112,3.0,true
Teodorico,Reardon,SC,Recruiting Manager,131489,23,318,99,2,82991,3.11,false
Carmelia,Culy,IN,Internal Auditor,34270,20,427,81,1,53885,3.46,false
Isabella,Woodburne,DC,Project Manager,107055,24,785,20,1,228278,3.91,true
Anselm,Rushton,CA,Engineer I,405791,19,448,93,2,272844,3.71,true
Harrie,Locarno,TX,Recruiting Manager,584977,23,830,81,2,272535,2.72,false
Saw,O'Deoran,NC,Database Administrator III,198599,17,764,29,2,242150,2.89,true
Eimile,Domenicone,OH,Operator,554006,4,582,43,2,271569,3.84,true
Jocko,Kohneke,SC,Biostatistician II,455101,15,407,99,2,435854,3.71,false
Kristofer,Bruford,NV,Recruiter,115294,17,611,62,2,81389,2.53,true
Hamilton,Pipe,CO,Actuary,421763,25,741,58,2,245763,3.18,false
Chen,Simon,MO,Information Systems Manager,139915,23,620,27,1,416332,3.92,true
Enrica,Arnke,KY,Community Outreach Specialist,337388,14,615,19,1,93215,3.38,false
Max,Machan,TX,Compensation Analyst,47645,21,450,29,1,287640,3.22,false
Reg,Maleney,FL,Structural Engineer,256813,11,712,60,2,453690,3.67,true
Farly,Conibeer,CA,GIS Technical Architect,69555,24,672,64,2,290203,2.93,true
Kort,Port,WV,Senior Quality Engineer,507145,7,810,56,1,70764,3.21,false
Ollie,Iannitti,DE,Human Resources Manager,502624,7,694,43,1,490803,3.35,true
Sophey,Ginner,CO,Marketing Manager,329886,19,466,62,2,373365,2.83,true
Brear,Cosstick,MD,Product Engineer,419487,12,695,96,2,484064,3.78,false
Theresa,Clewley,FL,Marketing Manager,444213,7,449,66,1,427326,3.77,false
Guntar,Polet,IL,Financial Analyst,444867,23,497,90,2,490395,3.31,true
Maren,Hinners,WV,Statistician II,221857,17,604,100,2,423863,3.05,false
Josi,Dallon,MO,Quality Engineer,205541,5,849,91,1,280929,2.69,true
Dicky,Arnopp,TX,Budget/Accounting Analyst I,570723,18,591,84,2,278982,2.95,false
Demetri,Dwelling,CA,Web Designer III,131147,15,484,55,1,417847,2.5,false
Wainwright,Lounds,UT,Payment Adjustment Coordinator,226963,8,368,20,1,338426,3.53,true
Dominic,Tennewell,PA,Product Engineer,378369,25,708,43,2,161352,3.53,false
Nikolaos,Hauxwell,CA,Automation Specialist I,247831,19,335,67,1,315609,3.49,false
Joaquin,Golley,CA,Software Test Engineer II,172731,23,439,38,2,450547,3.74,false
Maury,Fellowes,MN,VP Marketing,418976,1,329,90,1,439455,3.18,false
Ephrayim,MacCague,SC,Dental Hygienist,312340,14,650,68,2,97000,3.31,true
Ely,Wyleman,NY,Software Consultant,285588,8,542,59,2,70023,3.82,true
Jimmy,Wellbelove,WI,Structural Engineer,96311,25,679,44,2,473365,3.1,false
Sibella,Venner,NY,Research Associate,421792,22,688,37,2,179947,3.01,false
Kin,Houldin,NY,Senior Financial Analyst,99913,5,471,57,1,278330,3.52,true
Betsey,Hasnney,CT,Mechanical Systems Engineer,186475,25,718,84,2,348403,3.51,true
Janka,MacNeill,CA,Executive Secretary,585724,23,404,22,2,316972,2.77,true
Seline,McNab,CO,VP Marketing,197079,11,621,47,1,119564,3.61,true
Moina,Izard,CA,Chief Design Engineer,273593,21,571,65,2,58113,3.52,false
Rowen,Wenderoth,VA,Community Outreach Specialist,427884,3,453,29,2,120306,3.42,false
Siward,Lermouth,TN,Physical Therapy Assistant,232402,19,488,89,2,467760,2.56,true
Cristina,Siemons,MN,Executive Secretary,114465,15,477,30,2,142227,3.92,false
Dorry,Pearlman,DC,VP Sales,126447,8,676,51,2,92899,2.95,true
Eleanor,Warbys,FL,Structural Analysis Engineer,175447,13,401,44,2,89062,3.19,false
Westbrooke,Fieldstone,TX,Help Desk Technician,246754,19,798,91,2,65377,2.62,false
Harley,Ewbanks,AL,VP Marketing,150968,17,331,31,2,81722,2.76,true
Tadeo,Plitz,NE,Mechanical Systems Engineer,122277,23,367,46,2,428366,2.67,false
Warren,Chettoe,MS,Engineer I,161078,3,534,58,1,172830,3.15,true
Randy,Marjanski,LA,Operator,298535,5,472,94,2,66114,2.75,true
Terrye,Screase,NY,Associate Professor,148830,16,341,75,1,94120,3.39,false
Merrily,Galle,AL,VP Marketing,449790,8,381,23,2,429351,3.31,false
Alis,Deverall,AL,Structural Engineer,142587,6,396,36,2,125583,3.44,true
Kate,Coyish,FL,Structural Engineer,379452,9,736,33,2,324023,3.78,false
Bancroft,Llewelly,FL,Electrical Engineer,354415,7,442,64,2,398571,3.17,false
Frederich,Cockney,GA,Developer II,560083,9,563,90,1,206851,2.61,false
Yank,Pirdue,NY,Engineer I,142798,10,329,37,1,293210,2.7,true
Lorin,Elfes,IL,Civil Engineer,142291,7,366,82,2,150464,3.66,true
Corinne,Stanyan,GA,Software Engineer IV,566913,14,546,79,2,249026,3.42,false
John,Fishpoole,CO,Product Engineer,583689,10,810,86,1,481786,3.22,false
Bambi,Schonfeld,WA,Assistant Media Planner,505807,9,489,79,2,459751,3.08,true
Brook,Knevit,DC,Technical Writer,479714,18,732,55,2,73690,2.59,true
Adriaens,Kleinfeld,CA,Marketing Manager,350013,16,617,25,2,243635,3.62,false
Titus,Budding,NV,Compensation Analyst,104246,3,683,92,1,379405,2.54,false
Danny,Beecheno,CO,Design Engineer,94504,17,624,62,2,260105,3.01,true
Tracie,Petyakov,IL,Senior Sales Associate,81285,15,331,86,2,400941,2.9,false
Rianon,Seth,CT,Statistician III,568087,20,372,98,1,286298,2.53,false
Roselia,Somerton,TN,VP Marketing,375532,19,460,85,2,179345,3.42,false
Ethan,Chinn,CA,Graphic Designer,468043,15,727,89,1,325087,2.81,true
Truda,Pauletti,OH,Librarian,40017,1,713,18,1,193670,3.88,false
Kelley,Huccaby,VA,Computer Systems Analyst II,174162,18,583,83,1,268014,3.51,true
Annaliese,Izachik,FL,Help Desk Technician,177962,1,632,82,2,132447,3.96,true
Fleurette,Glauber,PA,Graphic Designer,184719,15,782,74,1,186428,3.82,true
Turner,Ablitt,FL,Structural Analysis Engineer,141027,22,466,72,1,409529,3.45,false
Brittney,Drayn,IL,Technical Writer,406338,6,773,53,1,379138,3.14,false
Rennie,Linklet,NC,Human Resources Manager,174960,1,670,60,2,98170,3.74,false
Roma,Darth,NV,Chief Design Engineer,409159,17,504,94,2,490993,3.94,true
Ketti,Brailey,NY,Recruiter,94298,20,413,72,2,157067,3.29,true
Brittney,Swyer-Sexey,AR,Staff Accountant II,488231,16,649,18,1,118949,3.23,false
Giorgia,Berston,NC,Marketing Manager,247439,21,625,46,2,90794,3.3,true
Horatio,Fairbeard,CA,VP Marketing,326437,4,836,74,1,157569,2.54,true
Lynnette,Vispo,NC,Financial Analyst,454799,7,366,66,1,243429,2.52,true
Dacey,Lyness,FL,Account Representative III,263643,9,316,78,2,127981,3.05,false
Phillis,Napoli,PA,Programmer II,62349,16,440,29,1,494176,3.7,false
Conn,Markussen,CA,Occupational Therapist,412119,13,577,70,1,118363,2.86,true
Chris,Greaterex,PA,Clinical Specialist,589715,22,372,95,2,75885,3.44,false
Llywellyn,Glowacki,AR,Quality Control Specialist,178361,8,782,98,1,325830,2.94,false
Chan,Serck,PA,Staff Accountant IV,453249,5,322,65,1,322135,2.63,false
Shelden,Hansill,CA,Actuary,84530,10,567,60,1,228002,2.55,true
Basilio,McCorley,IA,Systems Administrator IV,386638,24,339,92,2,431368,2.66,true
Kacie,Mathou,LA,Budget/Accounting Analyst III,555538,13,325,39,1,199862,2.57,false
Mohandis,Yallowley,OR,Associate Professor,490447,24,454,48,2,337418,3.7,false
Zackariah,Branwhite,TX,Pharmacist,307997,24,591,44,1,477820,2.71,false
Kev,Zanutti,AZ,Design Engineer,484768,8,653,52,2,134323,2.74,false
Cally,Ambroz,MD,Information Systems Manager,255454,19,831,36,1,80314,3.36,true
Faustine,Schooley,DC,Staff Accountant II,147076,6,650,53,2,93809,3.49,true
Felike,Byfield,OH,Assistant Media Planner,105990,22,642,72,2,413621,3.84,false
Jenilee,Cocker,LA,Financial Analyst,416242,14,594,87,2,57456,3.46,false
Clemens,Gosalvez,MA,Staff Accountant III,96518,3,355,65,2,195535,3.73,false
Nancie,Kett,MO,Tax Accountant,97149,9,695,89,2,373132,3.56,true
Hyacinthie,Sapp,FL,Engineer IV,355646,20,481,33,2,267054,2.83,true
Garreth,Minillo,IN,Safety Technician I,411275,9,343,34,2,340865,3.86,true
Koren,Rampley,MI,Food Chemist,66914,7,310,31,1,129118,3.72,true
Valli,Deacon,IL,Cost Accountant,55187,16,439,95,2,152223,2.53,false
Darda,Matysiak,MD,Analyst Programmer,416801,8,302,23,2,277210,3.37,true
Ardith,Jannasch,NM,Quality Engineer,121245,18,527,80,1,74670,3.47,false
Wiatt,McClaren,FL,Research Assistant IV,529122,8,480,41,1,350908,3.11,false
Gratiana,Stoffer,WA,Director of Sales,254543,7,809,48,2,410247,3.37,true
Robbert,Filshin,MA,Nurse Practicioner,356052,6,373,81,2,141679,2.86,false
Becki,Rushton,MD,Operator,599257,25,798,21,1,203454,3.34,true
Baxy,Mattocks,CA,Account Coordinator,583969,4,610,28,1,442577,3.37,true
Desiree,Arrault,MN,GIS Technical Architect,97942,6,772,47,1,350025,3.25,false
Sayers,Scotney,CA,Safety Technician III,68676,11,422,72,1,367220,2.53,true
Catina,Aitken,PA,Accountant IV,357378,15,322,88,1,449768,2.87,false
Murdock,Maclaine,WI,Administrative Officer,418615,1,365,21,2,402161,3.66,false
Leyla,Flockhart,AZ,Sales Representative,223831,15,762,64,2,131288,3.85,true
Mariejeanne,Krout,CA,Developer IV,283263,16,347,36,1,165888,3.53,false
Elisha,Gwilt,CA,Payment Adjustment Coordinator,183954,6,838,65,2,203675,3.37,true
Marietta,O'Spellissey,IA,Programmer IV,519369,4,708,93,1,341889,3.21,false
Clive,Parrin,TX,Media Manager IV,322564,10,766,38,2,412252,3.36,false
Albina,Calway,FL,Community Outreach Specialist,325964,19,511,29,2,265829,3.5,false
Yorke,Stampe,TX,Financial Advisor,535597,23,532,23,1,384436,3.58,true
Twyla,Huckerby,DC,Media Manager II,110185,19,541,56,1,306200,2.86,true
Belicia,de Grey,VA,Engineer I,486224,4,337,54,1,220668,2.56,true
Joly,Wayman,WA,Teacher,154429,9,721,39,1,408435,3.65,false
Nickie,Genty,OK,Technical Writer,277423,1,614,87,2,275309,3.92,true
Enrichetta,Critchell,WA,Editor,412502,21,645,42,2,138785,3.53,false
Chastity,Cranage,TX,Structural Engineer,293106,12,825,21,1,178518,3.7,false
Wyatan,Andrus,PA,Assistant Media Planner,72518,16,630,94,1,170856,2.58,true
Flo,Dumigan,KS,Analog Circuit Design manager,343866,19,603,97,2,284244,2.57,false
Willie,Cockin,VA,Clinical Specialist,436237,19,774,45,1,269048,2.54,false
Konstantine,Elfe,MS,Environmental Specialist,174153,13,604,92,2,89258,3.91,false
Dotti,McCurtain,MA,VP Accounting,560744,21,415,48,1,121851,2.62,false
Hope,Shovelin,TX,Automation Specialist I,582337,5,506,65,2,87508,2.59,false
Jocelyne,Wells,VA,Paralegal,69449,2,565,71,2,150453,3.34,true
Tory,Sybe,TX,Desktop Support Technician,493293,14,767,57,2,383053,3.26,true
Mag,Marmon,NM,Structural Engineer,501588,19,315,29,1,233100,3.74,false
Sayers,MacCawley,GA,Recruiting Manager,85249,23,573,94,1,498525,3.79,false
Siegfried,Lope,GA,VP Product Management,461343,9,757,38,1,229568,2.69,false
Tab,Cardenosa,FL,Occupational Therapist,587160,16,422,27,1,364241,3.6,false
Zachariah,Gero,IN,Human Resources Assistant III,215880,3,444,57,2,214363,3.1,false
Katharyn,Parmby,CA,VP Product Management,180713,1,779,32,2,339435,3.35,true
Ignatius,Gapp,CA,Desktop Support Technician,398243,16,590,31,2,290356,3.5,true
Gavin,Audibert,DC,Research Assistant II,525815,5,554,26,1,123788,4.0,false
Nananne,Daynter,OH,Analog Circuit Design manager,308190,10,464,56,2,146545,3.71,false
Eveline,Lawry,FL,Programmer II,465149,3,848,67,2,472716,3.51,false
Ardelle,Kender,ID,Environmental Specialist,297146,15,602,35,2,106774,2.78,true
Hobey,Dunford,AZ,Chief Design Engineer,82640,13,376,47,1,448657,3.02,false
Skip,Shorter,OH,Senior Editor,467115,6,353,50,2,150097,3.32,false
Martin,Matfield,TX,Internal Auditor,56656,5,743,47,2,322653,3.17,false
Kellen,Doulton,DC,Research Associate,423619,5,568,39,2,445690,3.83,true
Marietta,Fayne,IL,Account Representative I,471185,15,710,29,2,149292,2.8,false
Craig,Dyson,SC,Developer II,82983,21,833,99,2,69017,3.74,true
Wynnie,Janman,CA,Chief Design Engineer,45873,8,531,41,2,335053,3.66,true
Vita,Paybody,LA,Geologist II,409896,21,407,31,2,96391,3.56,true
Christy,Strangward,TX,Staff Scientist,293978,6,577,71,1,184024,3.19,true
Katheryn,D'Hooge,GA,Chemical Engineer,485557,6,535,76,2,192163,3.0,true
Hughie,Walklate,OK,Community Outreach Specialist,495820,6,300,29,2,377976,3.66,true
Constanta,Sizey,TX,Project Manager,50107,24,708,42,1,396744,2.82,false
Caralie,Jurczik,NJ,Senior Editor,456037,7,563,81,2,267103,3.55,true
Mercedes,Hofner,VA,Help Desk Technician,359520,7,418,89,2,473426,2.85,true
Fremont,Sanson,DC,Developer I,178684,20,348,61,1,161869,3.08,false
Hilliard,Gloy,TX,Senior Editor,243394,1,311,80,1,232705,2.81,false
Jeremiah,Bothram,CA,Engineer III,325798,9,780,21,2,483620,3.06,false
Glyn,Danilenko,NY,Recruiter,451562,10,670,79,2,176007,2.59,true
Kiah,Hrynczyk,PA,Media Manager IV,524931,6,765,75,2,138413,2.83,true
Melli,Hedley,OK,Computer Systems Analyst III,26979,8,693,25,2,256170,3.62,true
Mahmoud,Tullett,CA,Nurse Practicioner,530076,8,671,49,2,390730,3.54,true
Roda,Hatter,GA,Staff Accountant IV,136929,10,665,87,1,309273,2.98,true
Selinda,Sharpling,NY,Programmer Analyst III,53475,3,711,58,1,416788,3.55,false
Ad,Sprowles,DC,Professor,326105,4,355,56,2,63270,2.88,false
Viola,Hyndman,FL,Internal Auditor,29153,10,468,81,2,313594,3.97,true
Verna,Langelay,IN,Executive Secretary,47572,12,641,73,2,159990,3.2,true
Natka,Eversley,WV,Compensation Analyst,499724,11,794,53,2,103515,3.37,true
Bjorn,Ganford,VA,Recruiter,51196,16,387,41,1,267417,2.66,false
Bevan,Kermeen,AZ,Software Test Engineer I,471743,12,431,74,2,264683,3.71,true
Consalve,Gibke,NY,Software Engineer I,411155,23,734,43,2,281280,3.97,false
Estel,Creser,FL,Associate Professor,267511,25,670,70,2,438348,3.5,true
Leela,Tomaszewicz,DC,VP Product Management,507148,15,821,48,2,422299,3.51,true
Ebenezer,Michel,IA,Dental Hygienist,209806,3,574,20,1,308306,3.97,true
Abel,Ridger,OH,Sales Representative,589823,1,625,35,1,133561,2.99,false
Chrisse,Manicom,SD,Systems Administrator II,37811,1,525,31,2,274002,2.66,false
Micheline,Coate,NY,Engineer II,109473,9,366,79,1,237451,3.06,false
Goddard,Arenson,MO,Analog Circuit Design manager,224540,24,709,88,1,384329,2.83,false
Eldon,Playford,LA,Teacher,141184,13,702,76,2,263524,3.4,false
Gwendolen,Kardos-Stowe,WV,Geologist I,236794,18,773,96,1,187224,3.82,false
Tandy,Bradnick,TX,Teacher,420640,11,618,68,2,371999,3.15,false
Brok,Pervew,CA,Help Desk Operator,240784,14,529,66,2,251306,3.19,false
Dynah,Ridulfo,CA,VP Accounting,418688,7,403,25,1,289340,2.98,false
Vicki,McGarel,MD,Technical Writer,40435,22,490,26,2,479345,2.88,false
Edin,Chaves,CA,Software Engineer I,520631,8,686,37,2,487856,3.09,false
Stearn,Broxup,PA,Senior Developer,83668,13,655,89,2,159086,2.78,true
Arabel,Smitton,FL,Analyst Programmer,331916,16,649,71,2,367556,2.52,false
Rutherford,Rostern,OH,Dental Hygienist,103510,24,749,35,1,423146,3.23,true
Rosemaria,Layson,AZ,Automation Specialist IV,23136,16,363,99,1,182912,3.99,true
Ardelle,Lorincz,MN,Structural Analysis Engineer,589190,12,325,59,1,83371,3.51,true
Ninnetta,Challis,DC,Programmer Analyst III,232600,18,673,56,1,102022,3.17,true
Gonzales,Skingle,GA,Compensation Analyst,407133,7,453,18,2,248391,2.67,true
Ezekiel,Corradetti,VA,VP Quality Control,241431,8,372,61,1,283987,3.29,true
Eugenie,Mansel,TX,Budget/Accounting Analyst III,206557,14,483,51,2,68216,2.9,true
Alvinia,Dulinty,LA,Marketing Assistant,383789,17,411,73,2,224242,3.95,true
Lorne,Radbone,TN,Computer Systems Analyst II,238611,13,589,66,2,456459,2.56,false
Austina,Kayley,CA,Speech Pathologist,24887,14,326,45,2,375935,2.7,true
Amerigo,Grattage,IN,Media Manager II,426358,4,482,72,2,121156,3.93,true
Bibby,Surmeir,VA,Administrative Assistant I,383273,6,827,48,2,455111,3.73,true
Jo ann,Barrass,MN,Budget/Accounting Analyst II,302567,19,671,81,2,186076,2.81,false
Erina,Astie,MN,Health Coach I,148873,15,461,90,1,446409,2.77,false
Gussy,Stollenbeck,HI,Physical Therapy Assistant,572302,11,536,41,1,87618,3.57,true
Carleen,Trounson,GA,Business Systems Development Analyst,488047,23,498,23,1,491166,2.81,false
Fidelio,Halbord,KY,Registered Nurse,223705,18,435,59,2,319238,2.74,false
Daisi,Coplestone,IA,Business Systems Development Analyst,321178,25,764,47,2,299148,3.02,true
Moina,Garci,CA,Registered Nurse,169934,5,333,84,2,275896,3.62,true
Zachariah,Fust,IL,Programmer III,261525,4,546,40,2,161769,3.82,true
Ilyse,Gilkison,CA,Account Representative IV,50758,18,658,42,2,422825,3.6,true
Deanna,Webby,TX,Director of Sales,237895,10,341,92,2,100574,2.63,false
Aldon,Osanne,FL,Research Associate,82754,16,814,95,1,229008,3.51,false
Naoma,Davitti,SC,Geologist I,298103,17,597,95,2,74998,3.09,false
Rutter,Towhey,PA,Registered Nurse,112822,7,543,26,2,371181,3.06,true
Gretel,Blasik,OK,Cost Accountant,160914,16,388,97,1,372553,2.91,true
Ginny,Jatczak,MA,Developer II,502658,17,440,70,2,463977,3.06,false
Rodger,Spatig,VA,Librarian,414763,16,400,87,1,54750,3.92,true
Gregorio,Blackmoor,OK,Account Coordinator,277418,3,379,60,2,363715,3.4,true
May,Mayne,TX,Software Test Engineer I,47822,10,302,38,2,412030,3.73,false
Lewes,Aylmore,CA,Associate Professor,463040,6,849,59,1,456437,3.63,true
Giffard,Drezzer,OR,Nurse Practicioner,548265,18,830,54,2,292554,3.46,true
Phil,MacRury,NY,Safety Technician III,589865,16,350,89,1,191930,2.83,true
Kordula,Grigoryov,NY,GIS Technical Architect,541233,4,396,88,1,230433,3.63,true
Raymond,Monte,CA,Physical Therapy Assistant,431376,20,669,62,1,342382,3.92,false
Tannie,Risso,WV,Business Systems Development Analyst,301907,12,614,87,2,356265,2.78,true
Clement,Tierney,CA,Media Manager II,396149,25,306,41,1,417089,2.66,true
Allie,Crispin,GA,Computer Systems Analyst III,339327,22,723,54,1,411393,3.17,true
Leila,Balcers,FL,Statistician IV,199813,5,668,99,1,125575,2.59,true
Taffy,Eley,TX,Safety Technician I,117029,15,795,68,2,262785,3.54,false
Ann,Neenan,FL,Biostatistician I,457923,2,301,56,2,232995,2.86,true
Honor,Jasper,NY,Graphic Designer,32975,6,601,42,2,401084,3.6,true
Noble,Eves,VA,Senior Financial Analyst,427368,12,426,60,2,430490,3.2,true
Gayler,Elloway,CA,Senior Cost Accountant,26942,23,662,54,2,206363,4.0,false
Domeniga,Joslyn,TX,Executive Secretary,378287,15,446,40,2,87984,3.36,true
Birk,Jahnel,WI,Actuary,528108,25,586,37,1,483161,3.87,true
Erinna,McIlvenna,MA,Budget/Accounting Analyst I,419572,3,606,37,2,336806,3.28,true
Nelly,Kristoffersson,CA,Environmental Tech,160822,8,773,72,1,221612,3.24,true
Haley,Matityahu,AL,Quality Engineer,274893,21,325,73,1,170586,3.45,false
Beltran,Rowberry,TX,Database Administrator I,316833,7,753,47,2,222192,3.61,false
Bartholomeo,Dowry,NC,Paralegal,474689,1,567,26,2,364945,3.93,false
Leisha,O'Mara,MN,Registered Nurse,350544,18,668,26,1,290535,2.67,false
Giusto,Laherty,TX,Engineer II,201419,6,304,96,2,354035,3.75,true
Adelice,Alekseicik,TX,Assistant Professor,501115,16,747,66,1,227281,2.55,false
Hedwig,Whytock,IN,VP Accounting,598386,6,655,52,2,189062,3.21,false
Chrystel,Donnan,FL,Financial Analyst,289143,20,695,36,1,276347,3.25,false
Courtney,Yurasov,PA,Office Assistant IV,546610,16,711,88,2,395620,3.94,false
Dudley,Croci,PA,Clinical Specialist,44163,8,391,29,2,179981,3.73,false
Shirlene,Cannan,CO,Electrical Engineer,203328,24,589,91,1,77646,3.23,false
Birdie,Bratchell,CA,Junior Executive,541329,1,349,35,2,403530,3.38,true
Lemuel,Burwin,MA,Operator,531507,2,759,96,2,411755,3.17,false
Joanie,Ivain,AL,Assistant Manager,344009,3,801,51,1,284493,3.43,true
Si,Holborn,CA,Administrative Assistant II,261881,13,535,87,2,399022,3.84,false
Markos,Petrol,FL,Editor,472190,22,314,36,1,65088,3.35,true
Carmine,Buglar,CA,Office Assistant I,40678,8,623,19,1,251198,2.81,true
Suki,Garnett,GA,Database Administrator IV,479376,11,361,44,2,457508,2.52,false
Kingston,Geffe,SC,Mechanical Systems Engineer,458948,6,580,73,1,466820,3.79,true
Crystie,Feehery,CA,Sales Representative,565852,2,493,45,2,242235,2.68,false
Bartlet,Poleykett,CT,Information Systems Manager,519777,16,505,29,2,470501,3.64,true
Demetris,Gosnold,GA,Help Desk Operator,155466,19,845,84,2,456978,3.29,false
Aubrey,Newbold,TX,Financial Analyst,200703,6,838,81,2,493650,2.59,false
Fawn,Crowcum,FL,Associate Professor,240936,1,415,60,2,272053,3.96,true
Edyth,Deevey,WA,Sales Associate,314288,10,377,95,2,394103,3.31,true
Alexis,Skettles,IN,Information Systems Manager,460437,12,543,26,1,399582,3.71,true
Halimeda,Hinstock,TX,Social Worker,138500,16,399,54,1,486762,3.54,true
Evie,Kimmince,FL,Account Coordinator,27372,25,725,46,1,213682,3.72,true
Luci,Draaisma,CA,Quality Engineer,488588,12,622,73,2,218114,3.57,false
Ulises,Sawfoot,WA,Clinical Specialist,55532,4,672,86,1,379442,3.38,false
Homere,Doogood,AL,Account Representative I,465830,5,687,44,2,238446,2.83,true
Barclay,Zannolli,MO,Office Assistant IV,73374,6,496,24,2,152880,3.92,false
Damien,Dorow,PA,Quality Engineer,246891,15,813,66,2,192607,2.61,false
Jewell,Bon,CO,Assistant Manager,221141,10,512,98,1,144878,3.76,false
Audy,Lettington,PA,Health Coach I,177529,21,420,95,1,318765,3.13,false
Dorette,Dicky,NV,Registered Nurse,297992,21,505,71,1,227443,3.11,false
Laryssa,Dallyn,MN,Assistant Media Planner,495082,1,307,29,2,371958,2.79,true
Wolfie,Sigart,CA,Statistician I,579318,20,809,40,2,75977,3.69,false
Katrinka,Clementet,DC,Nuclear Power Engineer,541782,6,763,95,2,468578,3.1,false
Gallagher,Kippen,CO,Staff Accountant I,310070,12,474,91,1,229567,3.67,true
Ursula,Mapston,MO,Senior Financial Analyst,370228,2,743,95,1,416461,3.34,true
Linnea,Aberchirder,MN,Structural Engineer,488867,17,819,97,1,192880,3.69,false
Durand,Woodrough,GA,VP Quality Control,487691,20,510,25,1,461829,2.59,true
Stoddard,Sellstrom,TX,Pharmacist,347662,7,308,68,1,292553,3.61,true
Glen,Weatherhill,MI,Account Representative I,118223,25,511,50,2,485385,3.08,false
Row,Goreisr,GA,Desktop Support Technician,122251,16,394,68,2,463264,2.6,false
Hillel,Leeke,KY,Human Resources Manager,480109,1,455,97,2,76707,2.97,false
Ursola,McGloughlin,CA,Financial Advisor,225295,3,338,86,2,404706,3.65,false
Christan,Calver,OR,Senior Cost Accountant,511221,16,357,20,2,121398,2.96,true
Merwin,Blackmoor,MO,Librarian,300186,9,445,38,2,247586,3.35,true
Billie,Killby,NY,Mechanical Systems Engineer,383921,16,849,18,1,364281,2.81,true
Karyn,Robertshaw,NY,Occupational Therapist,346438,2,689,31,1,366404,2.84,true
